Price,Address,Floor,Bathroom,Bedroom,Land,Road,City,Face,Longitude,Latitude
47500000,Baneshwor,2.5,4.0,5,2738.0,10.0,Kathmandu,West,85.33565914433615,27.68990755
63500000,Baneshwor,2.5,4.0,8,2464.2,20.0,Kathmandu,North East,85.33565914433615,27.68990755
16500000,Baniyatar,3.0,3.0,6,1112.3125,10.0,Kathmandu,South,85.3184514,27.7483836
19000000,Baniyatar,2.5,3.0,4,983.96875,14.0,Kathmandu,North,85.3184514,27.7483836
22000000,Baniyatar,3.0,3.0,8,1369.0,16.0,Kathmandu,North West,85.3184514,27.7483836
23500000,Baniyatar,3.0,5.0,7,1129.425,13.0,Kathmandu,East,85.3184514,27.7483836
23500000,Baniyatar,2.5,4.0,5,1411.78,14.0,Kathmandu,South,85.3184514,27.7483836
23750000,Baniyatar,3.0,5.0,6,1197.875,12.0,Kathmandu,North West,85.3184514,27.7483836
24000000,Baniyatar,3.0,6.0,6,1454.5625,15.0,Kathmandu,North East,85.3184514,27.7483836
25000000,Baniyatar,3.0,5.0,7,1711.25,11.0,Kathmandu,South,85.3184514,27.7483836
27000000,Baniyatar,2.5,3.0,7,1129.425,13.0,Kathmandu,South West,85.3184514,27.7483836
28500000,Baniyatar,3.5,3.0,6,1711.25,10.0,Kathmandu,South East,85.3184514,27.7483836
29000000,Baniyatar,3.0,5.0,6,1369.0,20.0,Kathmandu,East,85.3184514,27.7483836
35000000,Baniyatar,3.0,5.0,8,1540.125,20.0,Kathmandu,East,85.3184514,27.7483836
19300000,Baniyatar,2.5,3.0,6,1197.875,13.0,Kathmandu,West,85.3184514,27.7483836
17500000,Baniyatar,3.0,3.0,4,1026.75,13.0,Kathmandu,West,85.3184514,27.7483836
28000000,Baniyatar,2.5,3.0,5,855.625,13.0,Kathmandu,West,85.3184514,27.7483836
28000000,Baniyatar,2.5,3.0,7,1197.875,13.0,Kathmandu,West,85.3184514,27.7483836
25000000,Baniyatar,2.5,4.0,5,1060.975,13.0,Kathmandu,West,85.3184514,27.7483836
29000000,Bansbari,2.5,4.0,6,1390.39,10.0,Kathmandu,West,85.342576,27.7458288
36000000,Bansbari,3.0,5.0,6,2053.5,10.0,Kathmandu,South East,85.342576,27.7458288
36000000,Bansbari,3.0,6.0,6,2053.5,10.0,Kathmandu,South East,85.342576,27.7458288
45000000,Bansbari,2.5,5.0,6,2738.0,16.0,Kathmandu,West,85.342576,27.7458288
45000000,Bansbari,3.0,5.0,6,2738.0,16.0,Kathmandu,North West,85.342576,27.7458288
45000000,Bansbari,2.0,4.0,6,2738.0,20.0,Kathmandu,East,85.342576,27.7458288
47500000,Bansbari,2.0,5.0,4,2738.0,16.0,Kathmandu,East,85.342576,27.7458288
50000000,Bansbari,2.5,4.0,4,2395.75,13.0,Kathmandu,South,85.342576,27.7458288
51000000,Bansbari,2.5,5.0,5,1437.45,12.0,Kathmandu,South,85.342576,27.7458288
52000000,Bansbari,2.5,5.0,4,1471.675,12.0,Kathmandu,South,85.342576,27.7458288
52000000,Bansbari,2.5,3.0,6,2464.2,20.0,Kathmandu,West,85.342576,27.7458288
55000000,Bansbari,2.5,5.0,6,2121.95,13.0,Kathmandu,South East,85.342576,27.7458288
62500000,Bansbari,2.0,3.0,4,3148.7,13.0,Kathmandu,South,85.342576,27.7458288
67500000,Bansbari,2.5,2.0,6,2395.75,13.0,Kathmandu,West,85.342576,27.7458288
50000000,Bansbari,2.5,3.0,4,1711.25,13.0,Kathmandu,West,85.342576,27.7458288
52500000,Bansbari,2.5,5.0,5,2053.5,13.0,Kathmandu,West,85.342576,27.7458288
47500000,Bansbari,2.5,4.0,5,1711.25,13.0,Kathmandu,West,85.342576,27.7458288
