title,location,price,landsize,Road,bedroom,bathroom,url,direction,parking,built year,district,Municipality,vdc,builtyear,checkmun
House for sale on 8 aana land New Baneshwor,New Baneshwor,80000000,3080.25,,10,7,https://nepalhomesearch.com/property/house-for-sale-on-8-aana-land-new-baneshwor/,,3-,,kathmandu,,,,
House for sell in Kausaltar | 9851050192,,80000000,3762,20,8,5,https://www.gharghaderi.com/house/2376-House-for-sell-in-Kausaltar/,North west,3+,,Bhaktapur,Madhyapur Thimi,Kausaltar,2073,Madhyapur Thimi
Wonderful Bungalow at Tripureshwor,Tripureshwar,80000000,3422.5,13,6,5,https://nepalhomesearch.com/property/wonderful-bungalow-sale-at-tripuresh/,West,3+,2067,kathmandu,,,,
"4 Storey Brand New House On Sale At Naxal, 100 Meter From Bhat Bhateni | 9847369375",,78000000,1604.29,15,8,5,https://www.gharghaderi.com/house/1843-4-Storey-Brand-New-House-On-Sale-At-Naxal-100-Meter-From-Bhat-Bhateni/,East,3-,,Kathmandu,Kathmandu,Naxal,2076,Kathmandu
Residential tower for sale | 9840872228,,78000000,1711.25,16,8,5,https://www.gharghaderi.com/house/1838-Residential-tower-for-sale/,North east,3-,,Kathmandu,Kathmandu,Naksal,2076,Kathmandu
Bungalow on sale at Sanepa Lalitpur | 9851155216,,77000000,3080.25,13,6,4,https://www.gharghaderi.com/house/2461-Bungalow-on-sale-at-Sanepa-Lalitpur/,East,3+,,Kathmandu,Lalitpur,Sanepa,2072,Lalitpur
House for sale in Budhanilkantha | 974830145,,76000000,3600,12,2,1,https://www.gharghaderi.com/house/2401-House-for-sale-in-Budhanilkantha/,West,3-,,Kathmandu,Budhanilkantha,Park Village Resort,2067,Budhanilkantha
A modern house for sale at Pepsicola Kathmandu,"Pepsicola, 44810",75000000,4449.25,13,5,6,https://nepalhomesearch.com/property/house-for-sale-at-pepsicola-kathmandu/,North,,,kathmandu,,,,
Flat system house for sale at Baluwatar Kathmandu,Baluwatar,75000000,3080.25,,5,5,https://nepalhomesearch.com/property/flat-system-house-for-sale-at-baluwatar/,,3+,2072,kathmandu,,,,
Furnished bungalow for sale at Dhumbarahi Kathmandu | 9851155216,,75000000,4107,10,5,5,https://www.gharghaderi.com/house/621-Furnished-bungalow-for-sale-at-Dhumbarahi-Kathmandu/,East,3+,,Kathmandu,Kathmandu,Dhumbarahi,2075,Kathmandu
House for sale at balkot | 9851178232,,75000000,3422.5,13,6,5,https://www.gharghaderi.com/house/2655-House-for-sale-at-balkot/,East,3-,,Bhaktapur,Suryabinayak,Balkot 2,2076,Suryabinayak
House for sale in sanepa area | 9823254017,,75000000,3080.25,20,5,2,https://www.gharghaderi.com/house/2395-House-for-sale-in-sanepa-area/,South,3-,,Lalitpur,Lalitpur,sanepa sanchal,2076,Lalitpur
Modern house for sale at Maligaun Kathmandu,Hadigaun Marg 44600,75000000,3764.75,,4,5,https://nepalhomesearch.com/property/house-for-sale-at-maligaun/,,3+,2067,kathmandu,,,,
Lale Lalitpur House Sale on 4 Ropani,"Dihgau, Lele, Godawari, 44709",73000000,21904,20,4,3,https://nepalhomesearch.com/property/lale-lalitpur-house-sale/,South-east,3+,2075,lalitpur,,,,
House for sale at Panipokhari Heights Housing Panipokhari,Panipokhari Heights Housing Panipokhari,72500000,1711.25,,4,4,https://nepalhomesearch.com/property/panipokhari-heights-housing-sale/,,3-,2075,kathmandu,,,,
Bungalow for sale in Narayanthan Budhanilkantha Kathmandu | 9840872228,,72000000,4449.25,14,5,4,https://www.gharghaderi.com/house/715-Bungalow-for-sale-in-Narayanthan-Budhanilkantha-Kathmandu/,South east,3+,,Kathmandu,Budhanilkantha,Narayanthan,2074,Budhanilkantha
Bungalow with 12  AANA land on sale at Narayanthan | 9840872228,,72000000,4107,16,5,5,https://www.gharghaderi.com/house/1190-Bungalow-with-12- AANA-land-on-sale-at-Narayanthan/,South east,3+,,Kathmandu,Budhanilkantha,Narayanthan,2076,Budhanilkantha
"4BHK Bungalow For Sale At Sukedhara, Kathmandu | 9802601115",,70000000,2395.75,12,4,3,https://www.gharghaderi.com/house/2481-4BHK-Bungalow-For-Sale-At-Sukedhara-Kathmandu/,East,3+,,Kathmandu,Kathmandu,Sukhedhara,2067,Kathmandu
"A modern house for sale in Bagaicha Colony, Budhanilkantha","Bagaicha Colony, Budhanilkantha",70000000,2738,20,5,5,https://nepalhomesearch.com/property/house-for-sale-in-bagaicha-colony/,West,3-,2078,kathmandu,,,,
Beautiful House at Satdobato of 10 Annas,"Satdobato, 44702",70000000,3422.5,13,13,9,https://nepalhomesearch.com/property/beautiful-house-at-satdobato/,South,,2072,lalitpur,,,,
"House For Sale At Panipokhari Heights, Panipokhari, Lazimpat, Kathmandu | 985-102740",,70000000,1449.6403,,4,1,https://www.gharghaderi.com/house/1938-House-For-Sale-At-Panipokhari-Heights-Panipokhari-Lazimpat-Kathmandu/,East,3-,,Kathmandu,Kathmandu,Panipokhari,2076,Kathmandu
House for sale on 7 anna at Rose Village Balkot Bhaktapur.,"Rose Village Housing, Balkot,",70000000,2395.75,,5,9,https://nepalhomesearch.com/property/house-for-sale-rose-village-balkot/,,3-,2076,bhaktapur,,,,
House for sale on 9 aana at Bafal,Bafal ,70000000,3422.5,,3,4,https://nepalhomesearch.com/property/house-for-sale-on-9-aana-at-bafal/,East,3+,2060,kathmandu,,,,
House on 14 aana at Dhapasi for sale,"Dhapasi, near Krishna Mandir",70000000,4791.5,,6,6,https://nepalhomesearch.com/property/house-on-14-aana-at-dhapasi-for-sale/,South,3+,,kathmandu,,,,
House on 9 anna land for sale at Hepali Kathmandu,Hepali ,70000000,3080.25,,4,5,https://nepalhomesearch.com/property/a-house-built-on-9-anna-land-for-sale-at-hepali/,,3+,,kathmandu,,,,
Old house for sale in Mahalaxmisthan,Mahalaxmisthan,70000000,4791.5,,5,4,https://nepalhomesearch.com/property/old-house-for-sale-in-mahalaxmisthan-lagankhel/,,3+,,lalitpur,,,,
Renovated House For Sale At Chappal Karkhana Kathmandu,Chappal Karkhana,70000000,3080.25,13,5,5,https://nepalhomesearch.com/property/renovated-house-for-sale-at-chappal-karkhana-kathmandu/,South,3+,,kathmandu,,,,
Mandikatar bungalow | 9840872228,,69999999,4449.25,15,5,5,https://www.gharghaderi.com/house/1378-Mandikatar-bungalow/,East,3+,,Kathmandu,Budhanilkantha,Mandikatar,2070,Budhanilkantha
A modern house for sale in Bagaicha Colony Budhanilkantha Kathmandu,"Bagaicha Colony, Budhanilkantha",68000000,2738,20,6,5,https://nepalhomesearch.com/property/bagaicha-colony-budhanilkantha/,South-west,3-,2075,kathmandu,,,,
Beautiful House is on sale at Budanilkantha Height | 9861828129 sold,,68000000,2464.2,16,6,5,https://www.gharghaderi.com/house/2065-Beautiful-House-is-on-sale-at-Budanilkantha-Height/,South east,3-,,Kathmandu,Budhanilkantha,Budhanilkantha,2076,Budhanilkantha
House for sale at Khusibu Kathmandu | 9801909608,,68000000,2481.31,20,,,https://www.gharghaderi.com/house/395-House-for-sale-at-Khusibu-Kathmandu/,,,,Kathmandu,Kathmandu,Khusibu,,Kathmandu
Dream home at Godawari Lalitpur,"Godavari, Godawari",67500000,12321,20,3,3,https://nepalhomesearch.com/property/dream-home-for-sale-at-godawari/,South,3+,2055,lalitpur,,,,
"Modern 4BHK Home For Sale At Panipokhari Heights, Lazimpat | 9802601313",,67500000,1450.07,20,4,1,https://www.gharghaderi.com/house/2570-Modern-4BHK-Home-For-Sale-At-Panipokhari-Heights-Lazimpat/,North,3-,,Kathmandu,Kathmandu,Panipokhari Heights,2076,Kathmandu
Previous Home On Sale close to Summit Lodge Kupandole,"Near Summit Hotel, Kupandole , 44690",67500000,2438.53,13,6,4,https://nepalhomesearch.com/property/house-on-sale-near-summit-hotel/,North-east,3+,,lalitpur,,,,
A beautiful house for sale at Gairidhara Kathmandu,Lazimpat 44600,65000000,2395.75,,5,5,https://nepalhomesearch.com/property/house-for-sale-at-gairidhara-2/,,3-,2067,kathmandu,,,,
A modern house for sale at Sanepa Lalitpur,Sanepa,65000000,2738,,4,4,https://nepalhomesearch.com/property/a-modern-house-for-sale-at-sanepa-lalitpur/,,3-,2075,lalitpur,,,,
Bungalow for sale at Maharajgunj | 9801028304,,65000000,2844.95,14,8,5,https://www.gharghaderi.com/house/634-Bungalow-for-sale-at-Maharajgunj/,East,3-,,Kathmandu,Kathmandu,Maharajgunj,2075,Kathmandu
Bungalow on sale at koteshwor | 9861828129 sold,,65000000,3148.7,16,6,3,https://www.gharghaderi.com/house/2038-Bungalow-on-sale-at-koteshwor/,South east,3-,,Kathmandu,Kathmandu,Koteshwor,2076,Kathmandu
