Price,Address,Floor,Bathroom,Bedroom,Land,Road,Land Mark
140000000,"Talim Kendra Marg, Sainbu",3,3,4,3080.25,13,baisiparty
32500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,4,6,684.5,20,"GWARKHU CHOWK, NAYABASTI SITAL TOL"
85000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",4,6,5,2395.75,20,NEPAL MEDICITY HOSPITAL
26500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",35,4,8,598.93,13,BOJEPOKHARI
22500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,4,4,684.5,13,"Satdobato, Hattiban"
22500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",35,4,5,941.18,13,Imadol Krishna Mnadir
28500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,4,4,941.18,13,Imadol Tempo Park
24000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,3,4,1026.75,13,Thaiba
23000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,3,7,1026.75,13,imadol highway 300m
28000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,3,7,1026.75,13,Imadol Bhatbhateni
27000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,3,5,1026.75,13,"IMADOL BHATBHATENI, OCHU HEIGHT"
23000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,3,7,1026.75,13,Imadol Highway 400m
25500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,4,5,1026.75,13,Imadol Krishna Mandir
32500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,4,6,1026.75,13,Imadol Swimming Pool
26500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,4,4,1026.75,13,Hattiban Micro Stop
27000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,4,4,1026.75,13,Harisiddhi Petrol Pump
22000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,4,5,1026.75,13,Mahalaxmi College
27000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,4,4,1026.75,13,"Imadol Petrol Pump, Gwarkhu"
27500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,4,5,1026.75,13,"KRISHNA MANDIR IMADOL, TIKATHALI"
25500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,4,5,1026.75,13,"Krishna Mandir Chowk,"
33000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,4,6,1026.75,13,Imadol Petrol Pump
33000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,4,5,1026.75,13,"Tempo Chowk, Imadol Bhatbhateni"
31500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,4,4,1026.75,13,"Tempo Chowk, Sanagaun"
31500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",3,4,5,1026.75,13,New Milenium School
31000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",35,4,5,1026.75,13,"Imadol Bhatbhateni, Downtown Residency"
24000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,4,6,1060.975,13,Don Bosco School
29500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,4,5,1095.2,13,Imadol Swimming Pool
22500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,4,6,1197.87,13,Ochu Height
37500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,5,5,1369,13,Bojepokhari
13500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,3,5,1369,13,Muktinath Temple Godamchaur
34500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,4,5,1369,13,New Milenium Scholl
32000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",3,5,4,1369,13,"Cozy Home, Imadol Petrol Pump"
47500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",35,5,7,1369,13,Namaste Petrol Pump
29500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,5,6,1369,13,"Imadol Main Highway, Sanagaun"
45000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,5,4,1369,13,Hattiban Colony
38000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,4,5,1437.45,13,
42500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,5,9,1437.45,13,Ullens School
28000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",35,4,8,1711.25,13,Ochu Height
33500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,4,8,1711.25,13,"Siddhipur, Sanagaun Scholl Chowk"
60000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,5,5,1711.25,13,Nakkhu
70000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",35,5,4,2053.5,13,
105000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,4,5,4107,13,Balkumari
21500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,3,5,684.5,12,
27000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,4,4,1095.2,12,
35000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",35,5,6,1369,12,Imadol Bhatbhateni
21000000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",25,3,6,2464.2,12,"Manakamana Mandir, Godawari"
22500000,"taiba, Thaiba (Godawari), Lalitpur",3,3,3,684.5,13,
22500000,"taiba, Thaiba (Godawari), Lalitpur",25,3,3,941.1875,13,
26500000,"taiba, Thaiba (Godawari), Lalitpur",2,2,3,1369,13,
70000000,"tachal thachal, Tahachal, Kathmandu",25,4,4,1369,13,
22000000,"TaakhelTaukhel Road, Badikhel",3,4,5,1369,13,near village resort
29500000,"swoyambhu, Chamati (Swayambhu), Kathmandu",35,3,7,855.625,13,Newa Chamati Party Palace
26000000,"swoyambhu, Bijeshwori (Swayambhu), Kathmandu",0,4,4,1060.975,20,
25000000,"Swotantra marg, Thulo Bharyang",2,3,4,1711.25,20,Sitapaila Padma colony
39900000,"swayambhu, Swoyambhu, Kathmandu",3,4,6,1369,13,swaymbhu
40000000,"swayambhu, Swoyambhu, Kathmandu",,4,6,1369,12,
