price,Location,Floor,Bathroom,Bedroom,Land,Road Size,Land Mark,url,182.25
400000000,Sanaypa imperial apartment,3,4,5,10952,20,,https://hamrobazaar.com/for-sale-house/house-for-sale-basundharkathmandu-in-nepal/48d3a19cbfb24a07ab2155e065a53a7e,
63000000,"Nepalgunj (Other Area), Banke (Nepalgunj)",3,5,8,10952,20,,https://hamrobazaar.com/for-sale-house/in-nepal/79060c79e71f413d87423d664259bbc8,
500000000,"Narayan Gopal Chok, Basundhara",5,5,5,10952,20,,https://hamrobazaar.com/for-sale-house/imadol-shital-height-ochu-height-in-nepal/6184e45467c44fe39899f5c8c2da5c24,
220000000,"Budhanilkantha, Budhanilkantha Municipality, Kathmandu",3,6,5,10952,20,,https://hamrobazaar.com/for-sale-house/imadol-shital-height-new-millennium-school-in-nepal/5f61e313babc404dba08b7f6ab106dc4,
110000000,"Sitapaila (Nagarjun), Kathmandu",1,1,1,10952,20,,https://hamrobazaar.com/for-sale-house/6-35-in-kaski/c24afe6476844a0b86645bd90a3ecbff,
28500000,"Imadol - Tikathali, Imadol",3,3,5,10609.75,13,tikathali pawan pakriti school,https://hamrobazaar.com/for-sale-house/housesemi-bungla-on-sale-hatigauda-in-nepal/2612469edc84497db7769fcd76f0a772,
6000000,"Golfutar (Budhanilkantha), Kathmandu",25,4,5,10267.5,13,,https://hamrobazaar.com/for-sale-house/sell-for-house-in-nepal/2bca7dfd12b64aebab201b14a78667d9,
6000000,"Golfutar (Budhanilkantha), Kathmandu",25,5,5,10267.5,13,,https://hamrobazaar.com/for-sale-house/house-on-sale-tokhel-godawari-lalitpur-in-nepal/1ccddc4e69144e0a95946087a0d14ade,
6000000,"budanilkantha, Hepali Height (Budhanilkantha), Kathmandu",25,4,6,9925.25,13,,https://hamrobazaar.com/for-sale-house/house-for-sale-makalbari-gokarneshwor-in-kathmandu/d2fdbb88fb9644a7a0c6bd09f3865099,
170000000,धरमपुर,2,4,4,9925.25,13,,https://hamrobazaar.com/for-sale-house/7bhk-bunglow-house-on-sale-at-bhaisepati-in-nepal/d19484dd298c4e81b10a01ad5399af47,
230000000,"Basnetgaon, Dhobighat",3,4,5,9925.25,13,,https://hamrobazaar.com/for-sale-house/houses-for-sale-at-kalanki-khadkagaun-in-kathmandu/a0cea7dcc15944239ba4de34a342fd76,
