title,location,price,landsize,Road,bedroom,bathroom,url,direction,parking size,built year
Flat system house for sale at Batisputali Kathmandu,Batisputali Kathmandu,25000000,0-3-1-0 ,,8,4,https://nepalhomesearch.com/property/flat-system-house-for-sale-at-batisputali-kathmandu/,,1,2010
One-story house on sale at Tikathali,"Tikathali, Mahalaxmi, Lalitpur, Bagmati Pradesh, Nepal",12000000,0-2-3-3 ,12,2,2,https://nepalhomesearch.com/property/one-story-house-on-sale-at-tikathali/,South,2,2021
Elegant villa on sale at Kapan Kathmandu,"Kapan, Kathmandu",550000000,112,12,4,6,https://nepalhomesearch.com/property/elegant-villa-on-sale-at-kapan-kathmandu/,,10,
Ravi Bhawan Kathmandu,Ravi Bhawan Kathmandu,430000000,72,,10,7,https://nepalhomesearch.com/property/ravi-bhawan-kathmandu/,,100,1998
Lale Lalitpur House Sale on 4 Ropani,"Dihgau, Lele, Godawari, Lalitpur, Bagmati Pradesh, 44709, Nepal",73000000,64,20,4,3,https://nepalhomesearch.com/property/lale-lalitpur-house-sale/,South-east,10,2075
3 BHK Bungalow,"Goldunga, Tarakeshwar Municipality, Kathmandu, Bagmati Pradesh, 19975, Nepal",150000000,53,,3,3,https://nepalhomesearch.com/property/3-bhk-bungalow/,,,
Splendid Villa for sale in Kathmandu,"Chapali Bhadrakali, Budhanilkantha 44600, Nepal",300000000,52,,4,5,https://nepalhomesearch.com/property/villa-for-sale-in-kathmandu/,,10,
3 Ropani Villa in Dhapasi,"Dhapasi Kathmandu, Bagmati Pradesh, 40607, Nepal",250000000,48,,6,6,https://nepalhomesearch.com/property/3-ropani-villa-in-dhapasi/,,,
Dream home at Godawari Lalitpur,"Godavari, Godawari, Lalitpur",67500000,36,20,3,3,https://nepalhomesearch.com/property/dream-home-for-sale-at-godawari/,South,3,1998
Significant Villa on sale near Deep Housing Pokhara,"Tallo Dip, Pokhara Metropolitan Ward No. 16, Pokhara, Kaski, Gandaki Pradesh, 60600, Nepal",140000000,32,30,5,7,https://nepalhomesearch.com/property/significant-villa-on-sale-near-deep-housing-pokhara/,East,10,
"Bungalow on sale at Narayantar, Bouddha Jorpati","Narayantar, Bouddha Jorpati",135000000,32,,6,6,https://nepalhomesearch.com/property/bungalow-on-sale-at-narayantar-bouddha-jorpati/,,10,2099
Modern house for sale on 2 ropani at Budhanilkantha,"Buddha Colony, Budhanilantha Kathmandu",105000000,32,,5,5,https://nepalhomesearch.com/property/modern-house-for-sale-budhanilkantha/,,10,2015
Under construction villa on sale at Kalanki Kathmandu,"Durga Colony, Kalanki kathmandu",150000000,32,,5,8,https://nepalhomesearch.com/property/under-construction-villa-on-sale-at-kalanki-kathmandu/,,5,2021
Mansion for sale at Budhanilkantha Kathmandu,"Budhanilkantha, Kathmandu,",170000000,31,,5,5,https://nepalhomesearch.com/property/mansion-budhanilkantha/,,10,2020
Modern bungalow on 31 anna for sale at Sitapaila Kathmandu,"New Colony, Sitapaila Kathmandu",152500000,31,,5,5,https://nepalhomesearch.com/property/modern-bungalow-on-31-anna-for-sale-at-sitapaila-kathmandu/,,10,2009
Bungalow for sale on 2 ropanis of land in Kupandol Ghusingal,Kupandole Ghushingal,210000000,30,,7,7,https://nepalhomesearch.com/property/bungalow-for-sale-on-2-ropanis-of-land-in-kupandol-ghusingal/,,10,2000
2 houses are for sale in one compound at Bhaisepati Lalitpur,Bhaisepati Lalitpur,178500000,27,,8,9,https://nepalhomesearch.com/property/2-houses-are-for-sale-in-one-compound-at-bhaisepati-lalitpur/,,10,2020
Mandikhatar House for Sale,"Mandikhatar, Budhanilkantha, Kathmandu, Bagmati Pradesh, 3832, Nepal",170000000,27,13,6,5,https://nepalhomesearch.com/property/mandikhatar-house-for-sale/,South,4,
