title,district,Municipality,vdc,price,landsize,bedroom,bathroom,builtyear,parking,direction,url,price.1
"2.5 Storey House For Sale at Gothatar, Kathmandu",Kathmandu,Kathmandu,Gothatar,,4.0 aana,6,3,2079,6,North,https://epropertynepal.com/properties/755-2-5-storey-house-for-sale-at-gothatar-kathmandu,17000000
"2.5 Storey House For Sale at Gothatar, Kathmandu",Kathmandu,Kathmandu,Gothatar,,4.0 aana,6,3,2079,6,North,https://epropertynepal.com/properties/755-2-5-storey-house-for-sale-at-gothatar-kathmandu,17000000
"Fully Furnished House for Sale at Sitapaila, Kathmandu",Kathmandu,Kathmandu,Sitapaila,,3.5 aana,2,2,2079,5,East,https://epropertynepal.com/properties/2980-fully-furnished-house-for-sale-at-sitapaila-kathmandu,30000000
"Bungalow for Sale at Sanothimi, Bhaktapur",Bhaktapur,Madhyapur-07,Sanothimi,,15.0 aana,7,4,2060,5,East,https://epropertynepal.com/properties/2133-bungalow-for-sale-at-sanothimi-bhaktapur,70000000
"3.5 Storey House For Sale at Nayabasti, Jorpapti",Kathmandu,Kathmandu,"Nayabasti, Jorpati",,3.61 aana,11,3,2060,4,North,https://epropertynepal.com/properties/2606-3-5-storey-house-for-sale-at-nayabasti-jorpapti,31000000
"House For Sale at Balambu, Kathmandu",Kathmandu,Chandragiri- 12,Balambu,,2.5 aana,5,3,2075,3,South East,https://epropertynepal.com/properties/1215-house-for-sale-at-balambu-kathmandu,14500000
"Semi-Furnished Bungalow for Sale at Budhanilkantha, Kathmandu",Kathmandu,Budhanilkantha,Budhanilkantha,,5.5 aana,5,6,2079,3,North,https://epropertynepal.com/properties/1634-semi-furnished-bungalow-for-sale-at-budhanilkantha-kathmandu,31000000
"House for Sale at Koteshwor, Kathmandu",Kathmandu,Kathmandu,Koteshwor,,8.0 aana,5,4,2070,3,East,https://epropertynepal.com/properties/1300-house-for-sale-at-koteshwor-kathmandu,48000000
"Bungalow For Sale at Kapan Height, Kathmandu",Kathmandu,Kathmandu,Kapan,,9.0 aana,5,5,2075,3,South West,https://epropertynepal.com/properties/633-bungalow-for-sale-at-kapan-height-kathmandu,52500000
"House for Sale at Hattiban, Lalitpur",Lalitpur,Hattiban,Kharibot,,5.0 aana,5,5,2075,3,Facing,https://epropertynepal.com/properties/1171-house-for-sale-at-hattiban-lalitpur,58000000
