floors,district,Municipality,Address,Land,Price,bedroom,bathroom,Face,Road,url
2.5,Lalitpur,Lalitpur-23,Hattiban,1026.75,18000000,4,3,North East,13,https://epropertynepal.com/properties/1784-house-for-sale-at-hattiban-lalitpur
2.5,Lalitpur,Lalitpur,Harisiddhi,1155.09375,24000000,3,5,North West,20,https://epropertynepal.com/properties/2988-2-5-storey-semi-furnished-house-for-sale-at-mount-view-residency-phase-i-harisiddhi
2.5,Lalitpur,Lalitpur,Harisiddhi,1411.78125,27000000,3,3,North,13,https://epropertynepal.com/properties/1075-2-5-storey-bungalow-for-sale-at-harisiddhi-lalitpur
4.5,Lalitpur,Lalitpur,Gwarko,1219.265625,32500000,7,4,North West,20,https://epropertynepal.com/properties/1653-house-for-sale-at-gwarko-lalitpur
2.5,Kathmandu,Guheshwori Planning,Guheshwori,1283.4375,28000000,8,4,West,20,https://epropertynepal.com/properties/1000-house-for-sale-at-guheshwori-kathmandu
3,Kathmandu,Tokha-08,Greenland,2395.75,35100000,8,4,West,10,https://epropertynepal.com/properties/1536-bungalow-for-sale-at-greenland-kathmandu
3.5,Kathmandu,Kageshwori Manohara,Gothatar,624.31,15000000,5,3,South,13,https://epropertynepal.com/properties/2144-house-for-sale-at-gothatar-height-kathmandu
2.5,Kathmandu,Kathmandu,Gothatar,1069.53125,24000000,6,3,East,13,https://epropertynepal.com/properties/2708-2-5-storey-house-for-sale-at-gothatar-kathmandu
2.5,Kathmandu,Kathmandu,Gothatar,1369,17000000,6,3,North,13,https://epropertynepal.com/properties/755-2-5-storey-house-for-sale-at-gothatar-kathmandu
3.5,Kathmandu,Tokha- 11,Gongabu,2738,55000000,11,6,South West,13,https://epropertynepal.com/properties/1097-3-5-storey-beautiful-house-for-sale-at-gongabu-kathmandu
1.5,Kathmandu,Kathmandu,Gokarneshwor,2566.875,18000000,2,1,East,13,https://epropertynepal.com/properties/678-full-furnished-house-for-sale-at-nayapati-kathmandu
4,Kathmandu,Kathmandu,Gaurighat,1390.390625,35000000,12,8,South,10,https://epropertynepal.com/properties/2487-4-storey-house-for-sale-at-gaurighat-kathmandu
5.5,Kathmandu,Balaju,Balaju,3080.25,47500000,11,10,North East,20,https://epropertynepal.com/properties/1158-house-for-sale-at-balaju-kathmandu
3,Kathmandu,Kathmandu,Dhungedhara,1026.75,33000000,5,4,West,13,https://epropertynepal.com/properties/2791-two-3-storey-semi-furnished-house-for-sale-at-dhungedhara-kathmandu
2.5,Lalitpur,Mahalaxmi,Dhunge Sangu,1283.4375,27500000,7,5,North East,13,https://epropertynepal.com/properties/2661-2-5-storey-house-for-sale-at-dhunge-sangu-imadol
2.5,Lalitpur,Lalitpur-26,Dholahiti,1796.8125,29900000,6,3,East,20,https://epropertynepal.com/properties/2958-2-5-storey-house-for-sale-at-dholahiti-height-lalitpur
2.5,Lalitpur,Lalitpur,Dhobighat,1882.375,44000000,7,3,South,13,https://epropertynepal.com/properties/3036-2-5-storey-bungalow-for-sale-at-dhobighat-lalitpur
2.5,Lalitpur,Lalitpur Municipality,Dhapakhel,1197.875,29000000,3,3,South East,13,https://epropertynepal.com/properties/2337-house-for-sale-at-dhapakhel-lalitpur
