price,Location,Floor,Bathroom,Bedroom,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Road Size,url,Land Mark
"रू. 3,90,00,000","budanilkantha, Pasikot (Budhanilkantha), Kathmandu",2.5,6,5,5.5,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-pasikot-in-kathmandu/f702dad26e5b4232adcd13a3b0a7f3dd,
"रू. 22,00,00,000",Lalitpur > Lubhu (Mahalaxmi),2.5,,,3,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/commercial-land-in-thamel-kathmandu-for-sale-in-lalitpur/5a3264492d09420ebeaea9dc7eb0246c,Lubhu
"रू. 2,70,00,000","akashedhara, Akasedhara (Kapan), Kathmandu",2,4,4,4aana,0,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-kapan-in-kathmandu/f9902a06e81c4c52a0996311422a51b7,
"रू. 90,00,000","कोटेश्वर चोक, जडिबुटी, काठमाडौं, काठमाडौँ महानगरपालिका, काठमाडौं, Bagmati Pradesh, नेपाल",3,3,2,5,1000,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/house-in-main-highway-in-nepal/da9d31265b1a48719bf6e926438b45a4,Rukmani marbles
"रू. 1,85,00,000","naya bazar, NayaBazar, Kathmandu",,,,,,,https://hamrobazaar.com/for-sale-house/house-for-sale-near-nayabazar-dharagalli-in-kathmandu/63eca94231af4ae6aec72824061264b6,
"रू. 10,00,00,000","jamsikhel, Jhamsikhel, Lalitpur",4,4,4,0-9-3-0,1500,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-jhamsikhel-sanepa-in-lalitpur/e91a3414aed64baeb703b97686832183,
"रू. 3,60,00,000","Hattiban, Lalitpur",3.5,5,6,4 aana,1000,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/brand-new-house-on-sell-hattiban-in-lalitpur/2087429e519f4c0fa326adda5fd76a1a,Near to LA school
"रू. 28,00,00,000","All Core Lalitpur, Lalitpur",2.5,3,3,3aana 2paisa,800,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/naya-ghar-bikrima-kumaltar-ma-in-lalitpur/83eda7a5b6cd4226b80aee881efb196b,
"रू. 1,80,00,000","Imadol (Mahalaxmi), Lalitpur",2.5,4,4,0-3-0-0,1200,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/semicommercial-house-on-sale-boje-pokhari-imadol-in-lalitpur/9538d5469a11423a8eb4c3b10818d40b,
"रू. 4,10,00,000","Bafal, Kathmandu",2 and half,5,5,"4 a 1 Dam, 3 Anna 2 Paisa 1 DamAnna 1.79 Dam, 3 Ann",4 Anna,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/value-for-money-bungalow-in-bafal-soltimode-in-kathmandu/5c1786ee144e494cac4583d8ca8e34de,Solti Hotel
"रू. 2,35,00,000","Bishnudol-Lubhu Road, Lubhu",3,3,5,3,800,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/lubu-beautiful-house-on-sale-in-nepal/933faa7c199d499095d0d2005541a3b9,lubu donbus
"रू. 2,20,00,000","Maitidevi, Kathmandu",4/1/2002,5,5,2 Aana,N/A,FiveToEightFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-maitidevi-kathmandu-in-kathmandu/14b57c317d494bd2ad40a64153d77c6d,Maitidevi temple
"रू. 1,90,00,000","Imadol Tikathali Siddhipur Sanagau Mahalaxmisthan Lubhu Lamatar Changathali, Mahalaxmi Area, Lalitpur",2.5,4,4,2.75 Aana,0,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-imadol-in-lalitpur/7c21a97a4697411d8520a1dd6a31ab64,imadpl
"रू. 3,11,00,000","Bhaisepati / Sainbu , bhaisipati",2,3,4,3 Anna 2 Paisa,1197,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/bungalow-for-sale-in-nepal/a094393256a34b22bf4503dd535ef14a,
"रू. 11,00,00,000",Kathmandu > Budhanilkantha,2.5,6,5,11,3900,13 to 20 feet,https://hamrobazaar.com/for-sale-house/bungalow-sale-at-budhanilkantha-in-kathmandu/34afe929b22b4f959e377a3cc176d76e,"Budhanilkantha, KTM"
"रू. 14,00,00,000","Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,6,5,2,1399,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/smart-house-for-sale-at-bhaisipati-in-lalitpur/6844a60b56aa406286a351c7e5e330f8,BHAISIPATI
"रू. 5,50,00,000","Kalanki, Kathmandu",3.5,7,12,0-6-2-0,5000,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/flat-system-house-on-sale-maitrinagar-kalanki-in-kathmandu/9bd5384299104e38a37cbfb37c65e404,
"रू. 1,98,00,000","Balambu (Chandragiri), Kathmandu",2.5,3,5,3.1,0,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-on-rent-at-chandragiri-in-kathmandu/c1c5b39212b14153a5ffeb6f2be2c171,
"रू. 3,15,00,000","सीतापाखा, इमाडोल",3,2,4,5,350,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-in-sale-at-imadol-in-nepal/4a527a4839694e4c85b172853b2315d6,
"रू. 2,80,00,000",Imadol,4,3,3,5,2000,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-ochu-hight-house-on-sale-in-nepal/1dfacc54f8614cc29ca360e6dc6728be,imadol ochu hight
"रू. 2,50,00,000",Imadol,3,4,4,3,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-shital-height-downtown-in-nepal/7c87220840874cf2a8bc64b98495b786,
"रू. 5,50,00,000","Sanepa, Lalitpur",4,4,1,0-5-0-0,1200,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-sanepa-in-lalitpur/24d1c366bfcc43aa9ebf02d1691be9bc,
"रू. 3,75,00,000","Bhuddha Marg, Tikathali, Siddhipur",3,4,6,4,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-sanagau-school-chowk-in-nepal/699c75d4b8cb4409afcf26ab63511c3e,
"रू. 3,25,00,000",Imadol,0,4,5,0,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-shital-height-ochu-height-in-nepal/e2a0bb075b0d4e06a86171aaaa286fa8,
"रू. 5,00,00,000","Bhaisepati / Sainbu , bhaisipati",,,,5.25,,,https://hamrobazaar.com/for-sale-house/full-furnished-house-on-sale-at-bhasepati-in-nepal/f9e6cb74f3054e6c802c268bf6dfe7bf,
"रू. 2,50,00,000","Sanepa, Lalitpur",1,1,1,0-3-1-0,1,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-sanepa-in-lalitpur/61a88f63e8e345d59f8e11f5422f5a87,
"रू. 2,85,00,000","Banasthali Mitranagar Gongabu NayaBazar, Balaju Area, Kathmandu",3.5,6,21,5.1,5100,5 - 8 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-buspark-in-kathmandu/c8b6b15485cd4fb2b6476b363ad8eb1d,
"रू. 2,30,00,000",Kathmandu > Gokarna (Gokarneshwar),2.5,3,7,3.5,1980,13 to 20 feet,https://hamrobazaar.com/for-sale-house/house-for-sale-in-kathmandu/72ff3d7649b443359c3691ae8667c676,Maitinepal gokarna
"रू. 3,00,00,000","kusibhu , Khusibu, Kathmandu",2,3,5,3.1.1,1838,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/semi-bunglow-house-sale-at-khusibunayabazar-in-kathmandu/70f5f5c7e743471cbec21527c0745989,
"रू. 8,00,00,000","अरुन थापा मुर्ति चोक, Sanepa",3,3,5,9,600,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/beautiful-bangalow-on-sale-sanepa-jamshikhel-in-nepal/86c924772b9149a5ad6680a23c4c27aa,sanepa jamshikhel hight
"रू. 2,80,00,000","Sanepa, Lalitpur",3,2,5-Apr,3.70 Aana,3.70 Aana,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/sanepa-house-for-sale-in-lalitpur/24ae9f2687fa4bf486de6f8864223de5,Sanepa
"रू. 2,50,00,000",Kathmandu > Mid Baneshwor,3,3,5,3,96,Less than 5 feet,https://hamrobazaar.com/for-sale-house/house-on-sale-at-baneshwor-hight-in-kathmandu/92f82a511b274c0a89ed0dc0c70313b1,New Baneshwor Hight puja pratisthan bata 200 mtr. North
"रू. 2,25,00,000","Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,3,5,3,1500,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-at-imadol-in-lalitpur/510453c23a7c4915b5afedab9cb80d21,"NEW MILENIUM SCHOOL, RAJKULO SURYANAGAR"
"रू. 2,68,00,000","budanilkantha, Hattigaunda (Budhanilkantha), Kathmandu",,,,,,,https://hamrobazaar.com/for-sale-house/budhanilkantha-hattigauda-house-for-sale-5-aana-ma-in-kathmandu/7de95492535e45bb9852004f626b3fa5,
"रू. 3,80,00,000","Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",3.5,4,6,4,2100,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/35-in-lalitpur/21a3ff1df3664591bcd1de81d2617256,
"रू. 2,00,00,000","Basnetar,",3,3,6,3,850,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-at-lolangtarkeshworkathmandu-in-nepal/95a8045636024e27a50be802066f8441,
"रू. 3,35,00,000","bhaisipati, Bhaisepati / Sainbu, Lalitpur",3.5,4,3,0-3-3-3.07,2150,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/brihat-cluster-4a3-for-sale-at-bhaisepati-in-lalitpur/fca5bac77d214853b008ac73d969ae19,Wai Wai Factory
"रू. 1,50,00,000",Lalitpur > Sunakothi,2,1,7,3.1,,Less than 5 feet,https://hamrobazaar.com/for-sale-house/house-for-sale-in-lalitpur/3d5d4aced6a24f5789527204b79fce46,Simako chowk Pacho tole
