price,Location,Floor,Bathroom,Bedroom,Land Mark,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Road Size,url
35000000,Gothatar (Kageshwor) >,2.5,4,7,dotel dairy,5,1260,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-on-sale-in-nepal/6684a79442c841cb8224c21c0cef46ff
110000000,"Baluwakhani (Kapan), Kathmandu",3,0,0,0,11,0,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/house-at-kapan-in-kathmandu/a982981d49b1406a9f2b63eeeaf7cf95
48000000,"Banasthali Mitranagar Gongabu NayaBazar, Balaju Area, Kathmandu",3.5,6,24,,5,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-in-kathmandu/b6498f693c2440c9ac18a29cd7c3a755
75000000,"budanilkantha, Hepali Height (Budhanilkantha), Kathmandu",2.5,3,4,,8.5,8.5,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/85-ana-new-bungalow-on-sale-at-italitar-in-kathmandu/b68e7a1d36f6464183c7af653efc0177
45000000,"Tulku Nursery, F81, school ground, Shree Binayak Tole, Jalpa Chowk, टोखा नगरपालिका, Kathmandu",0,2,5,,5,0,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/gongabu-ma-aadhunik-3-ota-bungalowharu-bikrima-in-kathmandu/f69ed6b32a844fa582f2940fffddb8fd
26000000,"467, Kathmandu Ringroad, Sungava Chok, Dhumbarahi, Kathmandu Metropolitan Ward 4, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Pradesh, 44660, Nepal",3,3,6,3ann,3ann,2000,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-in-bara/6bc038efb358498b8ca0c54e24388f14
24500000,Imadol,3,4,5,,3,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/imadol-nayabasti-swimming-pool-in-nepal/a3167bcf92ff49e0ab5820ee900fc175
26000000,"Koteshwor, Kathmandu",1,1,4,,4,127,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/4-aana-land-with-house-on-sale-in-kathmandu/0cb6c0422dab48d0b2cc503807903ca7
19000000,"Thulo Bharyang, Kathmandu",,,,,,,,https://hamrobazaar.com/for-sale-house/in-kathmandu/66dfdb4ccb974362b3e0db55d40bdcd0
31500000,"Imadol-Hattiban Road, इमाडोल",3,4,4,imadol lubhu,3,2700,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/in-nepal/93d329575e594834ac0e0937f40a7c87
13000000,"Ranibari (Samakhusi), Kathmandu",0,0,0,0,4,0,LessThan5Ft,https://hamrobazaar.com/for-sale-house/samakhusi-chowk-house-sale-in-kathmandu/3ba875c53e6a426faec49f2c07839b90
17000000,"Dhobighat, Lalitpur",2,2,7,Dhobighat,2,0,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-dhobighat-inside-ringroad-in-lalitpur/967e96e2a86d4ae0a03ebb9fcae2a27d
80000000,"Hattiban, Lalitpur",2.5,4,4,,8 aana,4400,AboveTwentyFeet,https://hamrobazaar.com/for-sale-house/4bhk-brand-new-house-on-sale-at-hattiban-in-lalitpur/d049baa6a81642d288a3288b5ccdbad5
19500000,Lalitpur > Lamatar (Mahalaxmi),2.5,2,3,"Property Address:Â Lamatar, GREEN VALLEY HOMES Housing,",3.5,1800,13 to 20 feet,https://hamrobazaar.com/for-sale-house/house-on-sale-in-lalitpur/8e2aa2fc1304484a9fb924d29101a83e
17000000,इमाडोल,1,1,1,,3,1,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-at-imadol-bojepokhari-in-nepal/5ba2ff6e29b84dd0b9df7b934667e977
28500000,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,3,5,"BOJEPOKHARI, IMADOL",3,1200,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-at-imadol-bojepokhari-in-lalitpur/29f538910bb04c38aa5ebb5fbd09008a
130000000,"budanilkantha, Budhanilkantha, Kathmandu",2.5,4,4,,21,3000,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-budhanilkantha-in-kathmandu/c9c9b79e8a094e06a4b121fd666ae954
44000000,"Bhanimandal Kusunti Nakhu Nakkhu Jawalakhel Dhobighat Thasikhel, Ekantakuna Area, Lalitpur",3,4,4,,4.5,2400,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/in-lalitpur/6d0ba0c2a168427d8fff84c239b3eed6
100000000,"थ्रीबम सडक, किरण चोक, बालुवाटार",3,5,4,Chundevi Baluwatar Kathmandu,7,0,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/full-furnishd-budnaglow-n-salekathmandu-in-nepal/559ddfd7c1bc458b90abae5ba909b91a
30000000,"Aaptari Reservoir, Bharatpur, Nepal",single,1,3,opposite to Baseni Ganeshthan highway.,46 Dhur,Around 900 sft.,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/26-kattha-land-with-strong-single-story-house-in-nepal/afcf747d8653478d821355ceacb15602
25000000,"Dallu, Chamati, Kathmandu",3,3,0,,2,0,Above 20 Ft.,https://hamrobazaar.com/for-sale-house/chamati-ma-2-aana-2-paisa-ma-baneko-ghar-bikrima-in-kathmandu/34c08382e7f44c438cfcd446a92f51ed
35000000,"Sitapakha, Imadol, Khadkagau, Mahalaxmi Municipality, Lalitpur",4,4,5,,4,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/setipakhama-aakarshak-ghar-in-lalitpur/d8564551cbd6496aae643a369f63c4b7
14000000,"लोकतान्त्रिक चोक,",1,1,4,,3,1026,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/manamaijusuva-kamala-chowk-ma-sasto-ghar-bikrima-in-nepal/13e419941c3c4949bd59913fe7218d07
27500000,"सीतापाखा, इमाडोल",3,4,5,,4,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/in-nepal/2066d3f393f74cf4bbf30751d30b7cd6
28000000,"Imadol (Mahalaxmi), Lalitpur",3,5,9,imadol,3 Aana,1100,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/houseon-sell-in-lalitpur/181764ead9bb4b298ecfd08a035d549c
80000000,"basbari, Bansbari, Kathmandu",3,8,10,,16,5593,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/semibungalow-on-sale-at-bansbari-in-kathmandu/886b4fd751c04b7da843afd8d4b828af
155000000,"Pasikot (Budhanilkantha) , budanilkantha",2.5,3,4,park avaiable,3.1,,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/31-house-for-sale-at-budhanilkantha-pasikot-in-nepal/63bfa923ac0e4d57af958857a254c389
55000000,"budanilkantha, Budhanilkantha, Kathmandu",3.5,4,5,,7aana,3000sq.ft,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/beautiful-bungalow-on-sale-at-budhanilkantha-in-kathmandu/8633a70745d540e7b108b0c389a143d0
28500000,"सीतापाखा, इमाडोल",3,5,6,,320,0,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/commercial-in-nepal/aeafc843f7124653972914373500a82d
17500000,"Dhapakhel, Lalitpur",2.5,3,5,Lalitpur Dh,2aana 2paisa,1050,NineToTwelveFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-at-dhapakhl-hattiban-in-lalitpur/5d78549dfd6248b48198ebaa6926897c
25000000,"Sitapakha, Imadol, Khadkatol, Khadkagau, Mahalaxmi Municipality, Lalitpur, Bagmati Pradesh, 44795, Nepal","2, 5",3,6,,3,1400,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/brand-new-house-on-sell-in-lalitpur/7ddc5ba077f74a8b87ecfd56e471132b
7000000,Makwanpur (Hetauda) > Karra,1,1,1,,8.4,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/home-land-on-sale-in-makwanpur/c4161710fe764742861d291eceec4010
