title,district,Municipality,vdc,landsize,Road,price,bedroom,bathroom,builtyear,parking,direction,url
"Commercial Building For RENT At Chabahil, Kathmandu | 9802601313",Kathmandu,Kathmandu,Chabihil,"9000 Sq, Ft",13,70,1,1,2076,Motorbike,North east,https://www.gharghaderi.com/house/2615-Commercial-Building-For-RENT-At-Chabahil-Kathmandu/
"Commercial Building For SALE At Chamati, Banasthali, Kathmandu | 9802601313",Kathmandu,Kathmandu,"Chamati, Banasthali",0-9-0-0.39,26,"14,00,00,000",1,1,2076,Car 3-5,West,https://www.gharghaderi.com/house/2613-Commercial-Building-For-SALE-At-Chamati-Banasthali-Kathmandu/
"House for sell in Bharatpur-18, Chitwan | 9843957888",Chitwan,BMC,Bhuwanbasti,3645,20 Ft,"75,00,000",4,1,2070,Car 2,North east,https://www.gharghaderi.com/house/2611-House-for-sell-in-Bharatpur-18-Chitwan/
"House for Sale in Bharatpur -18, Chitwan | 9843957888",Chitwan,BMC,Bhuwanbasti,7290,20 Ft,"1,60,00,000",6,2,2072,Car 3-5,South west,https://www.gharghaderi.com/house/2610-House-for-Sale-in-Bharatpur--18-Chitwan/
House on sale in Banepa | 9849572478,Banepa,Banepa,Banepa,1000 Sqft,20 Ft,"1,70,00,000",12,4,2068,Motorbike,East,https://www.gharghaderi.com/house/2608-House-on-sale-in-Banepa/
"Bhaisepati,Banepa,house for sale | 9800659444",Kavre,Banepa,Bhaisepati,8anna,8 Ft,"1,00,00,000",2,1,2070,Motorbike,East,https://www.gharghaderi.com/house/2605-Bhaisepati-Banepa-house-for-sale/
House for sale in Sitapaiala | 9846130713,Kathmandu,Nagarjun,Sitapaila,90.2square Meter,,"1,60,00,000",2,2,2072,Motorbike,West,https://www.gharghaderi.com/house/2602-House-for-sale-in-Sitapaiala/
"Commercial Building For RENT At Akashedhara, Budhanilkantha Ward No 10 | 9802601313",Kathmandu,Kathmandu,Akashedhara,800,26,100,1,1,2076,Car 3-5,North east,https://www.gharghaderi.com/house/2601-Commercial-Building-For-RENT-At-Akashedhara-Budhanilkantha-Ward-No-10/
"Commercial Building For RENT At Lazimpat, Kathmandu | 9802601313",Kathmandu,Kathmandu,Lazimpat,1200 Sq. Ft.,16 Ft,"3,30,000",1,1,2076,Car 5+,West,https://www.gharghaderi.com/house/2600-Commercial-Building-For-RENT-At-Lazimpat-Kathmandu/
Property Ideal for hotel on rent | 9841860726,Kathmandu,Kathmandu,Thamel,17 Anna,14 Ft,"5,50,000",1,8+,2066,Motorbike,East,https://www.gharghaderi.com/house/2593-Property-Ideal-for-hotel-on-rent/
House on sale in Jorpati | 9803160460,Kathmandu,Kathmandu,Jorpati,1500 Sqft,,"1,75,00,000",2,1,2075,Car 1,East,https://www.gharghaderi.com/house/2587-House-on-sale-in-Jorpati/
"New House in Sell in Kageshwori manohara 9, Kadaghari, Kathmandu | 9843143614",Kathmandu,Kageshwori Manohara,Kageshwori Manohara,3 Aana 2 Paisa,13 Ft,"2,70,00,000",6,3,2076,Car 1,North,https://www.gharghaderi.com/house/2584-New-House-in-Sell-in-Kageshwori-manohara-9-Kadaghari-Kathmandu/
House for rent | 9857834389,Kathmandu,Kathmandu,Nayabazaar,11 Aana,8 Ft,"1,35,000",7,3,2066,Car 3-5,North east,https://www.gharghaderi.com/house/2583-House-for-rent/
Newly built 5.5 Talla commercial house for sale | 9841169325,Kathmandu,Baniyatar,Samakhusi,2000,20 Ft,"9,25,00,000",12,5,2076,Car 3-5,East,https://www.gharghaderi.com/house/2579-Newly-built-5.5-Talla-commercial-house-for-sale/
