title,district,Municipality,vdc,landsize,Road,price,bedroom,bathroom,builtyear,parking,direction,url
House for sale in B AANAsthali Kharibot | 9861880932,Kathmandu,Nagarjun,B AANAsthali,770.06,20,29000000,5,4,2075,,,https://www.gharghaderi.com/house/476-House-for-sale-in-B AANAsthali-Kharibot/
Chappal Karkh AANA Modern Bungalow On Sale | 9847369375,Kathmandu,Kathmandu,Chappal Kharkh AANA,1026.75,,29000000,4,4,2076,3-,East,https://www.gharghaderi.com/house/1100-Chappal-Karkh AANA-Modern-Bungalow-On-Sale/
"Residential House On Sale at Jalpa Chowk, Gongabu, Kathmandu | 9745300858",Kathmandu,Kathmandu,"Jalpa Chowk, Gongbu",1369,13,29000000,1,1,2076,3+,South,https://www.gharghaderi.com/house/2777-Residential-House-On-Sale-at-Jalpa-Chowk-Gongabu-Kathmandu/
"Modern House on Sale, Paiyutar, Kapan | 9745300858",Kathmandu,Budhanilkantha,Kapan,1369,10,29000000,1,1,2076,3-,South east,https://www.gharghaderi.com/house/2762-Modern-House-on-Sale-Paiyutar-Kapan/
New house for sale at Bansbari | 9841904701,Kathmandu,Budhanilkantha,Bansbari,1454.56,10,29000000,6,4,2076,3-,West,https://www.gharghaderi.com/house/1120-New-house-for-sale-at-Bansbari/
Modern European style bungalow in a peaceful area Available for sale | 9842341392 sold,Kathmandu,Kathmandu,Sitapaila,1711.25,10,29000000,4,4,2076,3-,West,https://www.gharghaderi.com/house/1338-Modern-European-style-bungalow-in-a-peaceful-area-Available-for-sale/
2.5 storey new house for sale in Sano Bharyang Nagarjun | 9841356008,Kathmandu,Nagarjun,San-Bharyang,1796.81,20,29000000,7,4,2075,3-,West,https://www.gharghaderi.com/house/849-2.5-storey-new-house-for-sale-in-Sano-Bharyang-Nagarjun/
"House for sale at Dhapasi, Kathmandu | 9846053579",Kathmandu,Tokha,Dhapasi,1026.75,13,29500000,5,3,2073,3-,West,https://www.gharghaderi.com/house/2789-House-for-sale-at-Dhapasi-Kathmandu/
New Bungalow on Sale at Tenzing Chowk Chabahil | 9847369375,Kathmandu,Kathmandu,Chabahil,1369,13,29500000,5,4,2076,3-,East,https://www.gharghaderi.com/house/1189-New-Bungalow-on-Sale-at-Tenzing-Chowk-Chabahil/
House for sale in Dhapasi 7 Tokha | 9818152649,Kathmandu,Tokha,Dhapasi,1369,13,29500000,5,4,2075,3-,East,https://www.gharghaderi.com/house/864-House-for-sale-in-Dhapasi-7-Tokha/
4.5  AANAma baneko 3.5 talla Ghar Goldhunga LolangPhant on Rs 2.9 Crore | 9818046476,Kathmandu,Kathmandu,Goldhunga,1500,10,29500000,8,4,2075,3-,West,https://www.gharghaderi.com/house/2295-4.5- AANAma-baneko-3.5-talla-Ghar-Goldhunga-LolangPhant-on-Rs-2.9-Crore/
House for sale in Sukedhara | 9823013235,Kathmandu,Budhanilkantha,Sukedhara,1711.25,13,29800000,5,5,2075,3-,West,https://www.gharghaderi.com/house/581-House-for-sale-in-Sukedhara/
Flat system house for sale in Balaju Boharatar | 9843599656,Kathmandu,Kathmandu,Balaju,1026.75,13,30000000,7,5,2073,3-,,https://www.gharghaderi.com/house/705-Flat-system-house-for-sale-in-Balaju-Boharatar/
New house Sale at Besi Gau Jorpati Rs.30000000 | 9861397178,Kathmandu,Gokarneshwor,Jorpati,1200,13,30000000,8,3,2076,3-,East,https://www.gharghaderi.com/house/1517-New-house-Sale-at-Besi-Gau-Jorpati-Rs.30000000/
"4 bhk house on sale at Grande Villa Dhapasi,Tokha | 9851155216",kathmandu,Tokha,Dhapasi,1357.8673,,30000000,3,2,2075,3-,East,https://www.gharghaderi.com/house/3418-4-bhk-house-on-sale-at-Grande-Villa-Dhapasi-Tokha/
House for sale near jorpati in Besi Gaun | 9851160941,Kathmandu,Gokarneshwor,Besi Gaun,1369,12,30000000,6,3,2075,3-,East,https://www.gharghaderi.com/house/1174-House-for-sale-near-jorpati-in-Besi-Gaun/
"House in Sale at Taukhel, Godawari (4.5  AANA) | 9851153186",Kathmandu,Godawari,"Taukhel, Godawari",1540.125,6,30000000,5,5,2073,3-,East,https://www.gharghaderi.com/house/2561-House-in-Sale-at-Taukhel-Godawari-(4.5- AANA)/
Ghar bikrima | 9818107002,Kathmandu,Nagarjun,Syuchatar,1540.125,10,30000000,1,5,2075,3-,East,https://www.gharghaderi.com/house/1494-Ghar-bikrima/
House On Sale Thulo Bharyang Swoyambhu Near by YatYat Office | 9841831732,Kathmandu,Kathmandu,Swoyambhu,2395.75,,30000000,1,1,2068,3-,East,https://www.gharghaderi.com/house/2120-House-On-Sale-Thulo-Bharyang-Swoyambhu-Near-by-YatYat-Office/
House for sale in Sitapaila Nagarjun Kathmandu | 9843319744,Kathmandu,Nagarjun,Sitapaila,2395.75,18,30500000,6,5,,3-,east,https://www.gharghaderi.com/house/685-House-for-sale-in-Sitapaila-Nagarjun-Kathmandu/
Residential House in Kathmandu | 9851050195,Kathmandu,Kathmandu,Chabahil,1194,,31000000,8,5,2067,3-,East,https://www.gharghaderi.com/house/1439-Residential-House-in-Kathmandu/
New house for sale in Budhanilkantha | 9840872228,Kathmandu,Budhanilkantha,Pasikot,1540.12,12,31000000,5,2,2074,3-,South east,https://www.gharghaderi.com/house/770-New-house-for-sale-in-Budhanilkantha/
5  AANA South Face Beautiful House On Sale At Basundhara | 9847369375,Kathmandu,Tokha,Basundhara,1711.25,13,31000000,5,3,2076,3-,South west,https://www.gharghaderi.com/house/1807-5- AANA-South-Face-Beautiful-House-On-Sale-At-Basundhara/
House for sale in Chapali Height | 9851155216 sold,Kathmandu,Budhanilkantha,Chapali,1711.25,13,31000000,4,5,2075,3-,City,https://www.gharghaderi.com/house/465-House-for-sale-in-Chapali-Height/
House for sale Sarsawati Nagar Chabahil Kathmandu | 9841288248,Kathmandu,Kathmandu,Chabahil,1625.68,20,31500000,7,7,2070,3-,,https://www.gharghaderi.com/house/615-House-for-sale-Sarsawati-Nagar-Chabahil-Kathmandu/
Commercial house for sale at Dhungeadda Kalanki Kathmandu | 9817239960,Kathmandu,Kathmandu,Dhungeadda,1796.81,30,31500000,7,4,2075,3-,East,https://www.gharghaderi.com/house/624-Commercial-house-for-sale-at-Dhungeadda-Kalanki-Kathmandu/
House for sale in syambhu thulobharyang | 9861865212,Kathmandu,Nagarjun,Thulobharyang,1882.375,,31500000,7,4,2076,3-,East,https://www.gharghaderi.com/house/1709-House-for-sale-in-syambhu-thulobharyang/
New house for sale in Kapan Sukedhara | 9823013235,Kathmandu,Budhanilkantha,Sukedhara,1882.37,13,31800000,5,5,2075,3-,south east,https://www.gharghaderi.com/house/412-New-house-for-sale-in-Kapan-Sukedhara/
Modern Bungalow at ChappalKharkh AANA | 9840872228 sold,Kathmandu,kathmandu,chappalkarkh AANA,1026.75,13,32000000,4,5,2076,3-,South west,https://www.gharghaderi.com/house/1074-Modern-Bungalow-at-ChappalKharkh AANA/
Samakhusi Brand New House Inside Ring Road | 9847369375,Kathmandu,Kathmandu,Samakhusi,1369,16,32000000,6,4,2076,3-,East,https://www.gharghaderi.com/house/1099-Samakhusi-Brand-New-House-Inside-Ring-Road/
Brand new house for sale at Samakhusi | 9840872228 sold,Kathmandu,Kathmandu,Samakhusi,1369,13,32000000,6,5,2075,3-,East,https://www.gharghaderi.com/house/1077-Brand-new-house-for-sale-at-Samakhusi/
